event_date,viewed,added_to_cart,purchased,view_to_cart_pct,cart_to_purchase_pct,view_to_purchase_pct
2019-10-01,27761,9242,1019,33.29,11.03,3.67
2019-10-02,42424,23795,1068,56.09,4.49,2.52
2019-10-03,24998,6527,1058,26.11,16.21,4.23
2019-10-04,22691,5349,911,23.57,17.03,4.01
2019-10-05,21660,5821,724,26.87,12.44,3.34
2019-10-06,39114,20997,849,53.68,4.04,2.17
2019-10-07,37432,15581,1133,41.62,7.27,3.03
2019-10-08,30381,9397,1051,30.93,11.18,3.46
2019-10-09,29000,6423,1073,22.15,16.71,3.7
2019-10-10,27318,6174,994,22.6,16.1,3.64
2019-10-11,25300,5360,887,21.19,16.55,3.51
2019-10-12,22321,4885,796,21.89,16.29,3.57
2019-10-13,23257,5192,829,22.32,15.97,3.56
2019-10-14,26714,6459,1065,24.18,16.49,3.99
2019-10-15,25627,6089,1007,23.76,16.54,3.93
2019-10-16,26912,6525,1108,24.25,16.98,4.12
2019-10-17,27629,6226,1073,22.53,17.23,3.88
2019-10-18,25079,5581,939,22.25,16.82,3.74
2019-10-19,22040,4918,694,22.31,14.11,3.15
2019-10-20,23968,5267,813,21.98,15.44,3.39
2019-10-21,28725,6939,1063,24.16,15.32,3.7
2019-10-22,27622,6258,1032,22.66,16.49,3.74
2019-10-23,26616,6344,1051,23.84,16.57,3.95
2019-10-24,26199,6058,996,23.12,16.44,3.8
2019-10-25,24622,5471,861,22.22,15.74,3.5
2019-10-26,22782,5189,631,22.78,12.16,2.77
2019-10-27,23782,5709,927,24.01,16.24,3.9
2019-10-28,27890,6205,1019,22.25,16.42,3.65
2019-10-29,28441,6308,944,22.18,14.97,3.32
2019-10-30,26717,6040,912,22.61,15.1,3.41
2019-10-31,25059,5737,952,22.89,16.59,3.8
2019-11-01,23830,5500,928,23.08,16.87,3.89
2019-11-02,23221,5360,826,23.08,15.41,3.56
2019-11-03,24947,5628,902,22.56,16.03,3.62
2019-11-04,24601,6069,956,24.67,15.75,3.89
2019-11-05,30318,6927,1041,22.85,15.03,3.43
2019-11-06,27929,6690,1068,23.95,15.96,3.82
2019-11-07,32164,8742,1627,27.18,18.61,5.06
2019-11-08,30328,7801,1588,25.72,20.36,5.24
2019-11-09,24141,5295,726,21.93,13.71,3.01
2019-11-10,24784,5757,826,23.23,14.35,3.33
2019-11-11,29226,6679,1139,22.85,17.05,3.9
2019-11-12,27580,6258,990,22.69,15.82,3.59
2019-11-13,27885,6433,1111,23.07,17.27,3.98
2019-11-14,27078,6316,1020,23.33,16.15,3.77
2019-11-15,24692,5520,858,22.36,15.54,3.47
2019-11-16,21435,5201,815,24.26,15.67,3.8
2019-11-17,24326,5771,887,23.72,15.37,3.65
2019-11-18,30497,7407,1098,24.29,14.82,3.6
2019-11-19,29432,6746,1078,22.92,15.98,3.66
2019-11-20,28026,6817,1111,24.32,16.3,3.96
2019-11-21,35695,10347,1748,28.99,16.89,4.9
2019-11-22,44475,13241,2352,29.77,17.76,5.29
2019-11-23,35236,9122,1643,25.89,18.01,4.66
2019-11-24,36137,8812,2083,24.38,23.64,5.76
2019-11-25,33526,6805,922,20.3,13.55,2.75
2019-11-26,31341,6525,971,20.82,14.88,3.1
2019-11-27,32806,6639,984,20.24,14.82,3.0
2019-11-28,40957,10779,1941,26.32,18.01,4.74
2019-11-29,39072,9498,2036,24.31,21.44,5.21
2019-11-30,30669,7146,1442,23.3,20.18,4.7
2019-12-01,28009,5596,834,19.98,14.9,2.98
2019-12-02,30252,6293,1036,20.8,16.46,3.42
2019-12-03,29196,6080,990,20.82,16.28,3.39
2019-12-04,28665,6335,1058,22.1,16.7,3.69
2019-12-05,28296,5969,984,21.09,16.49,3.48
2019-12-06,26500,5597,937,21.12,16.74,3.54
2019-12-07,24743,4879,758,19.72,15.54,3.06
2019-12-08,25419,5725,856,22.52,14.95,3.37
2019-12-09,31947,7355,1140,23.02,15.5,3.57
2019-12-10,30996,6811,1208,21.97,17.74,3.9
2019-12-11,31377,6757,1212,21.53,17.94,3.86
2019-12-12,29077,6294,1192,21.65,18.94,4.1
2019-12-13,28086,5349,962,19.05,17.98,3.43
2019-12-14,24782,4914,811,19.83,16.5,3.27
2019-12-15,27305,5653,944,20.7,16.7,3.46
2019-12-16,30548,6755,1280,22.11,18.95,4.19
2019-12-17,29176,6465,1205,22.16,18.64,4.13
2019-12-18,29188,6297,1152,21.57,18.29,3.95
2019-12-19,27412,5657,1074,20.64,18.99,3.92
2019-12-20,24362,5014,933,20.58,18.61,3.83
